epoch,d_loss,d_acc,g_loss
1,0.36673271035751664,0.8295606303418803,1.48660668810336
2,0.5038743515172576,0.7852480635683761,1.1976189960717645
3,0.4815488545558391,0.7780949519230769,1.3891087825226986
4,0.4911936983211428,0.7639473157051282,1.3564053339581204
5,0.5058394185243509,0.7540147569444444,1.292538680199884
6,0.524240812430015,0.738014155982906,1.2653159683840907
7,0.5328767484961412,0.7311615251068376,1.234901948234974
8,0.5363668753550603,0.7281233306623932,1.2386682161535971
9,0.5428007293460716,0.719459468482906,1.222178121917268
10,0.547170798556927,0.7154363648504274,1.2107720222228613
11,0.5465704589827448,0.7160373263888888,1.2091638289200954
12,0.5486439955540192,0.7132662259615384,1.2187106031128483
13,0.5469683991410793,0.7140090811965812,1.215668205394704
14,0.5481795957073187,0.7125567574786325,1.213988092719999
15,0.5485123909182019,0.7125150240384616,1.2060407496925094
16,0.5477255486015581,0.7131410256410257,1.2194289557444744
17,0.5474534784881477,0.7121310763888888,1.221618332923987
18,0.545936150683297,0.7122646233974359,1.2207860258909373
19,0.5449689550914316,0.713691907051282,1.2278203724795937
20,0.5463585962469761,0.7119140625,1.2217481640669017
21,0.5421362619242097,0.7148854834401709,1.2332962618933783
22,0.5433981548517178,0.7139256143162394,1.245256003151592
23,0.5406260859762502,0.7172475961538461,1.2424561884413419
24,0.5395255062060479,0.7167885283119658,1.2496698684672005
25,0.5374215669993662,0.7180071447649573,1.262015935829562
26,0.5366708407035241,0.7182742387820513,1.2654510618020327
27,0.5345614523204982,0.7206530448717948,1.2617860668235354
28,0.5376560630069839,0.7192508012820513,1.2612487354084976
29,0.5325931697192355,0.7217548076923077,1.26854073542815
30,0.5341840994536368,0.7200854700854701,1.273177952847929
31,0.5302332188838568,0.7216963808760684,1.285389711586838
32,0.5312884333424079,0.7230902777777778,1.2896834943029616
33,0.5311411966880163,0.7210620325854701,1.2871882397140193
34,0.5258525869785211,0.7241586538461539,1.3093745600209277
35,0.5260708284938437,0.7255024706196581,1.3022290595576294
36,0.526327302504299,0.725318843482906,1.3023815812208714
37,0.5248624485017906,0.7275474091880342,1.3114829767718275
38,0.5210732774347322,0.7285406650641025,1.320945988353501
39,0.521897925525649,0.7283737313034188,1.3216974213082566
40,0.5208683140002764,0.7283653846153846,1.3230393826961517
41,0.5189650320471861,0.7308610443376068,1.3362563089427786
42,0.5169632133000936,0.7319544604700855,1.3424573674415932
43,0.514760331529328,0.7319961939102564,1.3526137580728939
44,0.5145098006623423,0.7328308627136753,1.3529075832448454
45,0.512216690577503,0.7349676148504274,1.3543380361336927
46,0.512963938089008,0.7349175347222222,1.3585043520244777
47,0.5109359480631657,0.7371043669871795,1.3677196993022902
48,0.509227267315245,0.7353599091880342,1.3683428956657393
49,0.5101670869904705,0.7380475427350427,1.3775273479967036
50,0.5048906728625298,0.7393913595085471,1.3831003677641225
51,0.5046969525452353,0.7408353365384616,1.4059180083055782
52,0.49956053864752126,0.7441239316239316,1.4003864910103316
